"Found","Response Code","Content Length"
"/","200","18639"
"/index.php","200","218"
"/contact.php","200","218"
"/search.php","302","329"
"/uhome.php","302","329"
"/aboutus.php","200","218"
"/forum.php","302","329"
"/messages.php","302","329"
"/register.php","200","218"
"/terms.php","200","328"
"/prvs.php","200","328"
"/isuser.php","302","329"
"/res/","200","646"
"/login.php","200","218"
"/res/images/","200","2686"
"/loginH.php","200","218"
"/res/script.js","200","8763"
"/res/style.css","200","26023"
"/res/style.ie6.css","200","14421"
"/res/style.ie7.css","200","2340"
"/res/images/Thumbs.db","200","74874"
"/res/images/link%20photo.txt","200","309"
"/header.php","200","218"
"/admin/","200","1858"
"/admin/aedit.php","302","331"
"/admin/apupdate.php","302","331"
"/admin/aupdate.php","302","329"
"/admin/checkUser.php","302","221"
"/admin/footer.php","200","218"
"/admin/header.php","200","218"
"/admin/search.php","302","331"
"/admin/home.php","302","331"
"/admin/isuser.php","302","331"
"/admin/logout.php","200","328"
"/admin/message.php","302","331"
"/admin/messageH.php","302","331"
"/admin/messaged.php","302","331"
"/admin/messages.php","302","331"
"/admin/readmsg.php","302","331"
"/admin/sdelete.php","200","328"
"/admin/sedit.php","302","331"
"/admin/sinsert.php","302","331"
"/admin/sinsertH.php","302","331"
"/admin/subtopic.php","302","331"
"/admin/supdate.php","302","329"
"/admin/tdelete.php","302","331"
"/admin/tedit.php","302","331"
"/admin/tinsert.php","302","331"
"/admin/tinsertH.php","302","331"
"/admin/topic.php","302","331"
"/admin/tupdate.php","302","329"
"/admin/ups/","200","675"
"/admin/utility.php","200","186"
"/admin/writemsg.php","302","331"
"/admin/ups/Thumbs.db","200","24530"
"/footer.php","200","218"
"/db/","200","462"
"/db/tech_forum.sql","200","6119"
"/message.php","302","329"
"/logout.php","200","328"
"/questions.php","302","329"
"/question.php","500","343"
"/utility.php","200","205"
"/like.php","500","334"
"/answer.php","302","329"
"/times.php","200","186"
"/ups/","200","1394"
"/ups/download.jpeg","200","45130"
"/ups/Thumbs.db","200","44882"
"/ups/e.php","200","218"
"/ups/hello.txt","200","246"
"/phpmyadmin/","403","269"
"/courier.php","200","186"
"/ans.php","302","329"
"/notification.php","200","218"
"/symbol.php","200","186"
"/que.php","302","329"
